passenger_id	Inflight wifi service	Departure/Arrival time convenient	Ease of Online booking	Gate location	Food and drink	Online boarding	Seat comfort	Inflight entertainment	On-board service	Leg room service	Baggage handling	Checkin service	Inflight service	Cleanliness
6012	4	1	1	1	4	4	4	4	2	2	3	4	2	4
30183	5	4	4	4	4	3	1	5	5	5	5	1	5	1
41652	2	5	5	5	5	2	4	3	3	2	3	3	3	4
15138	4	1	1	1	4	4	4	4	4	3	1	5	2	4
123589	4	5	4	5	5	4	5	5	2	2	3	3	1	5
114534	3	1	3	2	3	3	3	3	2	1	3	1	3	3
93076	1	5	1	3	5	1	5	5	5	1	1	3	4	5
96963	3	3	3	3	3	3	4	3	5	2	4	3	4	3
85494	2	5	2	1	3	2	4	3	5	4	5	4	4	3
72989	5	5	5	5	4	5	4	4	5	5	1	5	4	4
42357	2	5	2	2	5	2	1	5	4	2	4	3	5	5
23040	3	3	3	3	3	3	3	3	4	1	3	3	3	3
65420	5	0	5	4	5	5	5	5	3	4	4	3	1	5
65045	3	4	3	3	4	3	4	4	1	1	4	2	1	4
37373	1	1	1	3	1	1	1	1	4	3	4	2	1	1
44405	4	3	4	3	5	4	5	5	2	5	2	1	4	5
16653	2	0	2	4	1	2	1	1	3	2	5	1	3	1
71655	3	5	2	2	4	2	4	4	5	4	5	3	5	4
77591	5	5	5	5	5	5	5	4	4	5	4	4	4	3
4585	4	2	2	2	1	3	4	4	4	4	4	4	4	1
108347	1	5	4	5	1	1	1	1	1	1	2	4	3	1
23400	2	3	2	3	5	2	5	5	5	2	3	2	4	5
31010	2	2	2	2	1	5	1	4	4	4	4	5	4	4
57513	2	4	2	1	1	2	1	1	3	3	4	4	4	1
20979	2	5	2	3	3	2	3	3	1	1	2	2	2	3
95841	1	1	1	1	5	5	4	2	2	2	2	5	2	5
114684	4	4	4	3	3	4	5	3	5	4	4	4	4	3
111667	4	3	3	3	4	3	4	4	4	4	4	4	4	4
20101	3	0	3	3	1	3	1	1	3	5	2	3	3	1
63212	4	1	1	1	4	4	4	4	1	3	2	3	2	4
8256	1	5	1	3	3	1	3	3	4	2	4	5	5	3
56161	5	5	5	5	2	5	5	4	4	4	4	3	4	5
121196	4	5	4	3	4	1	1	5	3	5	4	1	4	1
23788	3	3	3	3	4	4	1	4	4	4	4	5	4	3
129579	2	2	2	2	4	5	5	4	4	4	4	3	4	5
127516	1	4	4	4	2	3	4	2	2	1	2	2	2	4
18012	3	5	3	2	3	3	3	3	4	5	4	5	5	3
45561	4	4	4	4	4	4	4	4	2	2	4	2	1	4
5228	4	4	4	3	2	4	2	2	4	5	4	4	5	2
18311	4	0	4	3	3	4	1	3	3	2	5	4	5	3
59891	3	1	1	1	3	2	3	3	3	3	3	1	3	3
60651	3	2	4	2	3	3	3	3	2	2	2	3	4	3
51013	2	0	2	2	2	3	5	1	1	2	1	2	1	5
91746	2	2	2	2	5	5	5	5	5	2	5	3	5	5
4233	3	1	3	3	2	4	5	5	5	5	5	3	5	5
14187	3	3	3	3	3	3	3	3	4	2	2	2	2	3
19669	1	1	1	1	1	3	3	1	1	1	1	1	1	1
31147	2	2	2	2	4	4	4	4	4	1	1	3	5	4
128842	4	4	4	3	4	1	1	3	3	3	4	1	3	1
27562	4	5	4	5	1	4	1	1	3	4	4	5	4	1
775	3	1	1	1	5	3	2	3	3	3	3	3	3	4
14070	3	5	5	1	2	3	5	1	1	5	1	3	1	3
106007	3	3	3	3	5	3	5	5	2	1	3	1	3	5
116004	3	4	3	3	5	3	5	5	2	4	3	4	4	5
68886	1	1	1	1	3	5	5	5	5	5	5	5	5	3
72413	2	2	2	2	2	4	4	3	3	4	3	3	3	4
73604	0	4	0	4	4	5	5	4	4	1	1	4	4	3
48415	4	5	5	2	2	4	4	3	3	5	3	3	3	4
105708	5	5	5	5	4	4	5	2	2	2	2	5	2	3
65579	1	3	3	3	3	3	4	1	1	1	1	1	1	4
73058	1	1	1	1	5	1	5	5	4	4	4	4	4	5
65585	2	4	4	4	2	2	2	2	2	4	2	1	1	2
8346	4	4	4	4	2	4	5	5	5	5	5	4	5	3
79678	4	2	4	4	1	4	1	1	3	4	4	4	4	1
112483	1	4	1	4	4	1	4	4	5	2	5	4	4	4
31698	3	4	4	4	5	4	5	5	4	4	4	2	4	5
74030	2	2	2	2	4	5	1	3	3	4	3	5	3	1
124931	2	3	2	3	5	3	4	3	3	2	3	3	3	2
73924	2	2	2	2	4	4	4	4	3	5	4	4	3	4
76073	2	2	4	2	2	5	4	3	3	4	3	4	3	3
104623	0	0	0	5	2	0	2	2	4	3	5	3	5	2
58523	3	5	2	4	3	5	4	4	4	2	4	4	4	3
121929	2	5	2	2	2	4	5	5	5	5	5	3	5	4
30704	5	5	5	5	5	5	5	5	1	4	5	1	3	5
58896	2	2	2	3	5	2	5	5	4	3	3	2	4	5
26920	2	1	2	3	3	2	5	3	1	4	2	2	2	3
13884	5	1	1	1	5	5	5	1	1	1	4	5	4	5
87681	5	1	4	1	5	5	4	5	5	1	2	5	3	5
81719	3	3	3	3	4	4	5	4	4	4	4	4	4	3
85554	0	1	1	1	3	4	5	4	4	4	4	4	4	5
12645	3	4	4	3	4	4	4	4	4	4	4	3	4	3
101275	5	5	5	5	2	4	5	4	4	4	4	5	4	5
95982	4	4	4	4	3	3	3	3	3	2	4	5	4	3
74610	3	5	5	5	3	3	3	3	2	4	3	2	3	3
76449	1	1	1	1	2	4	5	4	4	4	4	5	4	4
14030	4	3	4	3	3	4	3	3	4	5	4	4	3	3
69692	3	3	5	3	4	4	4	5	4	5	4	4	3	4
47648	4	1	1	1	2	4	4	4	4	3	4	2	4	4
52168	5	3	3	3	2	1	1	5	5	5	5	3	5	4
60251	1	5	1	2	4	3	4	1	1	1	1	4	1	3
35881	2	3	3	3	5	3	3	4	4	3	1	3	4	4
28852	1	1	1	1	3	5	4	4	4	4	4	5	4	2
55341	4	4	4	3	1	4	1	1	4	2	4	5	5	1
84553	1	4	1	3	3	3	1	5	5	1	5	1	5	2
100249	2	2	2	2	4	4	4	4	4	4	4	3	4	4
2463	3	4	4	4	3	3	3	3	2	5	4	4	4	3
22924	2	3	2	2	1	2	1	1	1	3	5	3	2	1
25542	4	5	3	4	1	3	1	1	5	3	4	5	4	1
115972	1	5	1	1	2	1	2	2	3	5	5	3	4	2
2980	2	4	2	3	2	2	2	2	3	4	2	2	1	2
125097	1	5	5	5	1	1	1	1	2	5	3	4	4	1
46701	3	2	3	3	2	3	2	2	3	3	3	4	3	2
108006	4	0	5	3	2	5	2	2	4	2	4	3	5	2
19578	2	5	0	1	2	0	5	2	5	5	4	4	4	2
59508	3	3	3	3	4	5	4	4	4	4	4	3	4	5
56446	1	5	2	2	3	5	5	3	3	2	3	3	3	3
48800	3	4	4	4	5	3	4	2	2	2	3	4	2	2
129592	2	3	2	3	1	2	1	1	4	5	2	5	5	1
114039	5	5	5	5	5	5	5	5	5	5	5	3	5	4
66800	5	5	5	5	5	4	4	5	5	5	5	5	5	3
106799	2	4	2	4	2	2	2	2	3	2	3	2	3	2
47057	4	4	1	4	5	5	5	5	1	3	1	3	3	5
61824	2	5	2	2	2	2	2	2	5	2	4	3	5	2
68207	2	2	2	2	2	1	1	2	3	5	4	3	4	2
125512	2	5	2	4	4	2	4	4	4	5	5	4	5	4
93019	2	2	2	2	2	1	2	5	5	5	5	2	5	3
87296	2	5	2	2	3	4	5	1	1	2	1	4	1	3
76748	4	3	3	3	3	3	4	3	3	3	4	4	3	3
85879	5	5	5	5	4	4	4	4	4	4	4	4	4	4
63961	4	2	4	3	4	3	3	1	1	4	2	3	1	1
94760	2	4	3	4	5	3	3	2	2	3	2	4	2	4
49608	5	3	3	3	5	5	5	5	5	2	4	1	1	5
80520	2	1	1	4	3	1	3	3	1	1	4	2	3	3
23328	2	2	2	2	1	1	5	4	4	4	4	4	4	1
13560	1	4	1	2	2	1	1	2	4	3	5	4	5	2
119121	1	4	1	4	1	1	1	1	3	3	3	4	3	1
42917	5	1	2	1	4	5	4	4	5	5	2	4	3	4
52954	2	3	2	5	4	2	4	4	4	3	4	3	1	4
83112	2	5	2	3	3	2	3	3	4	4	4	3	5	3
88574	2	0	2	3	5	2	1	5	3	4	3	3	1	5
111570	2	2	2	2	5	4	5	4	4	4	4	3	4	4
28662	2	4	2	3	1	2	1	1	4	4	5	4	4	1
27177	2	3	2	3	2	3	2	4	5	3	3	2	3	2
129585	3	4	3	3	4	5	5	4	4	4	4	5	4	3
35759	2	2	2	4	2	3	4	5	5	2	5	3	5	2
49475	3	3	3	3	2	4	3	2	2	2	3	1	2	2
78904	2	2	2	2	3	2	3	3	3	5	5	4	4	3
29619	1	1	1	1	3	1	3	3	1	5	1	3	2	3
77512	1	1	3	1	3	5	4	5	5	5	5	4	5	4
31631	5	5	5	5	5	5	5	5	2	3	1	1	2	5
38913	4	4	4	4	1	4	5	4	4	4	4	1	4	2
35366	2	4	2	4	1	3	2	2	2	2	2	4	2	3
111817	3	3	3	5	4	3	4	4	5	4	4	5	5	4
12259	4	5	4	4	4	2	3	4	4	4	4	2	4	1
19790	2	4	3	4	2	4	4	3	3	3	3	4	3	3
33260	3	5	3	2	1	3	1	1	4	2	4	5	5	1
107079	2	4	5	1	2	4	5	3	3	5	3	1	3	1
15174	5	0	5	2	4	5	4	4	3	5	5	3	2	4
23620	3	4	4	4	3	3	3	3	2	2	3	3	3	3
18128	5	5	5	5	5	5	3	5	2	5	4	3	3	5
105291	4	4	4	4	4	4	4	4	4	2	4	3	3	4
56451	3	3	3	4	1	3	1	1	2	2	3	1	5	1
102068	1	4	1	1	5	5	4	4	4	1	4	5	4	3
57995	1	1	1	1	3	5	5	5	5	5	5	4	5	5
146	4	4	4	4	2	4	5	4	4	4	4	3	4	3
18770	3	1	1	1	3	3	3	3	3	4	3	4	4	3
42774	4	1	5	5	4	4	4	4	2	4	2	3	4	4
13776	2	2	2	5	5	2	5	5	2	5	5	1	4	5
103702	2	2	2	4	1	2	1	1	3	2	4	4	3	1
69826	3	3	3	4	4	3	4	4	3	5	4	2	4	4
57906	4	3	3	3	4	4	4	4	2	3	3	1	3	4
31358	5	5	5	5	1	1	5	5	5	5	5	5	5	5
92805	2	2	2	2	4	4	4	4	4	4	4	4	4	3
104375	2	4	4	4	3	3	4	2	2	2	2	4	2	1
109896	2	2	2	3	4	2	3	4	1	4	4	1	4	4
102955	3	4	3	3	1	3	1	1	5	2	4	4	4	1
44736	2	5	3	5	2	3	4	3	3	2	3	4	3	3
28135	4	2	4	4	4	4	4	4	4	4	3	5	5	4
55871	2	2	2	2	5	5	5	5	3	4	4	5	4	5
8818	4	4	4	1	4	5	4	5	5	4	5	4	5	5
86148	3	3	3	4	4	3	4	4	4	5	5	5	5	4
120162	4	0	4	1	5	5	4	4	4	4	4	3	4	3
117547	2	2	2	2	5	5	5	5	5	5	5	4	5	4
112385	4	2	3	3	4	4	4	4	1	2	3	1	3	4
19908	2	4	3	3	4	4	3	2	2	2	2	1	2	4
45098	2	2	5	2	1	2	1	5	5	5	3	3	5	3
43810	4	0	5	3	4	5	4	4	4	2	5	4	4	4
22981	4	3	3	3	2	5	1	5	5	4	5	3	5	1
68134	1	1	1	1	5	5	5	3	3	3	3	5	3	3
23518	2	3	2	3	2	3	5	2	2	2	2	5	2	3
109188	3	1	1	1	2	2	2	3	3	3	3	2	3	2
1150	3	5	3	4	5	3	1	5	5	5	4	3	5	5
44586	4	1	4	3	5	4	5	5	4	5	3	4	3	5
84299	0	1	1	2	5	5	4	3	3	3	3	5	3	5
103793	1	1	1	1	5	4	5	5	5	5	4	5	5	5
35032	5	1	4	1	3	3	3	5	5	5	5	3	5	1
103291	3	3	3	3	4	4	4	4	3	5	5	4	5	4
93909	2	2	2	2	2	4	5	5	5	5	5	4	5	4
127925	4	2	2	2	4	4	3	4	4	4	4	3	4	2
128097	3	0	3	5	3	3	3	1	1	3	2	3	3	3
26149	3	5	3	4	3	3	3	5	5	4	1	3	4	3
95886	2	4	2	3	4	2	4	4	5	3	5	3	4	4
125425	1	4	4	4	3	3	4	1	1	1	1	4	1	2
120078	2	5	5	5	2	2	2	2	2	4	3	3	3	2
60625	2	5	2	3	3	2	3	3	4	2	1	5	5	3
115031	5	5	5	4	4	5	4	4	4	4	5	3	4	4
37077	1	5	1	5	4	4	4	1	1	1	1	4	1	4
69252	4	2	2	2	4	4	4	4	3	4	3	3	4	4
12194	2	4	1	4	2	2	2	2	1	2	4	4	3	2
80188	3	1	3	3	3	4	4	2	4	4	3	4	1	4
10430	4	4	4	3	4	4	2	4	3	4	4	4	4	4
21262	4	3	4	4	1	4	1	1	4	5	3	1	4	1
55236	4	4	4	4	2	4	4	4	4	4	4	5	4	5
126917	2	2	2	2	5	5	5	5	5	5	5	5	5	3
112190	3	3	3	3	3	4	4	4	4	4	4	3	4	3
16342	2	5	5	5	2	2	1	2	3	4	4	4	4	2
2201	4	4	4	5	4	4	4	4	3	4	5	5	4	4
53687	4	5	5	5	4	4	4	4	2	1	2	2	3	4
47168	3	3	2	3	4	3	3	4	4	3	4	3	4	5
8782	2	2	2	2	3	5	5	4	4	4	4	4	4	3
75468	3	4	3	3	5	3	2	5	4	2	3	1	4	5
663	4	4	4	4	3	5	5	4	4	4	4	5	4	5
74740	3	5	3	3	4	5	5	1	1	3	1	2	1	5
117904	3	3	2	2	2	2	2	2	1	5	3	1	3	2
59599	2	1	1	1	2	3	2	2	2	4	3	3	4	2
29479	4	5	5	5	4	4	4	4	3	5	4	1	2	4
105096	2	2	2	2	4	4	4	4	3	4	5	3	4	4
94421	0	1	1	1	2	2	2	2	5	3	5	3	4	2
49058	1	1	1	5	4	1	2	4	2	4	5	5	2	4
47795	5	5	5	5	5	5	4	4	4	4	4	4	4	3
125451	5	5	5	5	5	5	5	3	4	4	4	5	3	5
96114	5	5	5	5	3	4	4	5	5	5	5	4	5	3
23241	2	5	2	3	2	2	2	2	5	5	4	5	4	2
106258	3	3	3	3	5	4	5	5	4	3	4	3	5	5
64874	3	2	3	3	1	3	1	1	4	5	4	3	3	1
100136	4	4	4	4	4	4	4	4	4	4	4	4	5	4
51774	1	4	0	3	1	0	1	1	3	1	3	3	4	1
124301	5	0	5	1	2	5	2	2	5	4	5	3	4	2
36127	3	2	4	4	3	4	4	3	3	3	3	1	3	3
121855	5	5	5	5	5	5	4	5	5	5	5	4	5	3
52648	2	2	2	2	5	2	2	5	4	5	3	2	3	5
38803	2	1	2	3	1	2	1	1	4	1	3	1	4	1
39916	1	1	3	1	5	5	5	5	3	2	4	5	5	5
95301	2	4	2	3	2	2	2	2	1	5	4	4	4	2
16505	2	5	2	3	5	2	5	5	3	3	5	5	4	5
63771	3	3	3	3	3	4	5	4	4	4	4	4	4	5
51960	3	0	3	1	5	3	5	5	3	5	4	5	3	5
111305	2	4	4	4	2	2	2	2	4	5	3	4	3	2
114340	2	4	2	2	4	2	4	4	4	3	4	3	5	4
17379	5	5	5	5	5	5	3	5	5	5	5	2	5	3
65992	3	5	3	1	1	3	1	1	3	2	3	4	5	1
104578	5	3	5	4	1	5	1	1	5	2	4	4	4	1
7443	4	3	4	1	3	4	3	3	3	2	2	3	5	3
67768	1	5	5	5	1	1	4	1	2	3	4	3	3	1
89581	4	4	4	4	5	4	5	5	4	1	4	3	3	5
47417	2	1	1	1	3	4	4	2	2	2	2	1	2	4
30231	2	4	4	4	4	2	4	2	2	2	2	5	2	1
14343	4	5	4	3	3	4	1	3	5	3	4	4	4	3
79924	4	2	2	2	4	4	4	1	5	3	3	4	2	4
105654	1	1	1	2	5	1	5	5	1	3	3	4	2	5
29495	3	4	3	3	1	3	3	1	1	5	3	2	4	1
98183	2	2	2	3	5	2	5	5	5	4	5	3	4	5
87554	4	4	2	1	5	4	4	3	3	2	2	4	3	5
83683	0	0	1	1	5	1	5	5	4	2	4	2	1	5
74603	2	4	4	4	5	4	4	2	2	2	2	1	2	4
83191	5	5	5	5	2	5	4	5	5	5	5	5	5	3
110103	1	1	1	1	4	5	5	5	5	5	5	4	5	4
57026	3	3	3	3	5	3	5	3	3	3	3	3	3	5
91205	1	2	1	4	3	3	3	4	4	1	4	1	4	4
55470	2	2	2	2	3	3	5	5	5	4	5	3	5	3
53922	1	1	1	4	4	1	2	4	4	1	4	2	3	4
129138	4	4	4	4	4	5	4	5	5	5	5	3	5	4
2034	2	2	2	2	4	4	5	2	2	2	2	5	2	4
37286	5	3	3	3	5	5	5	5	3	2	4	5	2	5
32818	2	1	1	1	2	2	2	2	2	2	3	2	4	2
46695	2	3	2	3	4	3	4	1	1	2	1	2	1	1
121598	5	5	4	2	4	4	4	4	5	4	5	5	5	4
44039	1	1	0	3	5	0	5	5	2	2	2	2	2	5
102733	3	1	3	4	3	3	3	3	1	4	4	1	3	3
85600	0	4	0	4	5	0	5	5	5	1	2	4	3	5
10833	2	2	2	2	4	4	4	4	5	3	4	4	4	4
81553	3	3	3	3	5	5	5	3	3	3	3	5	3	5
24745	4	3	3	3	4	4	4	4	4	3	3	1	4	4
58871	3	3	3	3	5	4	4	4	4	4	4	3	4	4
68900	0	5	0	3	5	0	5	5	4	4	5	5	5	5
31952	5	5	4	5	5	5	4	5	5	5	5	5	5	4
98758	3	3	3	3	2	5	4	5	5	5	5	5	5	4
59963	5	5	5	5	2	4	2	4	4	4	4	4	4	3
38236	3	3	3	3	2	5	4	3	3	4	3	3	3	5
43811	1	1	1	1	5	4	5	5	5	5	4	5	5	5
58215	2	5	2	2	4	2	4	4	2	5	3	1	4	4
88293	1	1	1	1	3	4	4	4	4	4	4	3	4	3
37225	2	2	2	2	3	4	5	4	4	4	4	5	4	4
43935	5	3	5	3	5	5	5	5	5	1	5	3	5	5
48899	4	2	2	2	4	4	4	4	2	5	5	5	3	4
99082	1	1	1	1	2	2	1	2	1	2	2	4	2	2
75859	1	5	0	4	5	0	5	5	3	3	4	4	4	5
85109	4	4	4	4	3	4	4	5	5	5	5	5	5	4
118135	2	3	3	3	4	3	4	2	2	2	2	4	2	2
89169	1	4	1	3	1	1	1	1	4	4	4	4	3	1
4988	2	2	2	5	5	2	2	5	4	3	4	4	4	5
81441	3	3	3	3	4	4	5	4	4	4	4	5	4	3
37707	2	2	2	4	1	2	1	1	1	4	4	1	4	1
94317	4	4	4	4	4	4	4	4	3	2	5	4	5	4
42242	2	2	2	2	5	1	5	4	4	4	4	4	4	3
8085	1	1	1	1	4	5	5	4	4	4	4	5	4	3
42926	3	3	3	3	3	5	5	4	4	4	4	5	4	4
114663	5	5	5	5	2	4	5	4	4	4	4	3	4	5
63597	4	4	4	4	4	4	4	4	5	2	5	3	4	4
78220	2	4	2	5	4	2	4	4	3	1	4	1	2	4
2902	1	3	1	3	5	1	5	5	3	2	2	5	1	5
71673	2	1	2	4	2	2	2	2	2	4	4	3	3	2
128042	1	4	1	4	4	1	4	4	5	3	3	5	5	4
53847	2	1	3	1	1	3	3	3	3	3	2	2	3	2
42369	2	4	2	3	2	2	2	2	3	5	5	4	5	2
110474	1	1	1	3	5	2	2	3	3	1	3	3	3	3
17284	1	1	1	1	5	5	5	5	4	2	5	1	5	5
69457	2	5	2	3	1	2	1	1	5	4	4	3	1	1
83974	2	5	2	2	2	5	4	5	5	5	5	5	5	3
107761	3	5	3	2	4	3	4	4	3	5	4	3	5	4
37834	5	5	4	5	5	5	5	5	5	2	1	3	2	5
25904	4	2	2	2	5	5	3	4	4	4	4	2	4	5
73190	3	3	3	3	3	2	2	1	2	3	3	2	1	2
70160	2	2	2	3	1	2	1	1	4	2	4	4	5	1
126642	4	4	4	4	3	5	5	2	2	2	2	5	2	4
76228	2	2	2	2	4	3	3	2	2	2	2	1	2	4
18983	4	4	4	4	2	3	3	5	5	5	5	4	5	3
42803	0	3	0	3	4	3	4	4	4	5	5	5	5	4
65527	2	4	3	1	1	3	1	1	3	2	4	4	5	1
5441	3	5	3	3	2	4	4	5	5	5	5	5	5	5
18473	5	5	5	5	1	1	3	4	4	4	4	5	4	5
98337	1	1	1	3	3	1	3	3	5	5	5	3	5	3
68782	2	2	2	3	3	2	3	3	3	5	5	5	4	3
98247	5	4	5	5	2	4	4	4	4	4	4	4	4	4
67119	1	2	2	2	5	2	2	1	1	1	1	1	1	4
91319	3	5	3	1	5	3	5	5	4	4	5	3	5	5
111275	4	2	2	2	4	3	4	4	4	4	4	1	4	3
60787	1	5	1	3	1	1	1	1	5	2	5	3	5	1
65894	0	0	0	3	3	0	1	3	4	2	4	5	4	3
67702	5	5	5	5	3	4	5	4	4	3	4	5	4	3
55982	2	2	2	2	4	3	4	5	5	5	5	4	5	5
38230	3	3	5	3	4	4	4	3	3	3	3	3	3	1
48253	3	3	3	3	5	2	5	4	4	3	4	1	4	5
89431	2	2	2	3	3	2	4	3	2	4	3	4	3	3
117314	3	2	3	3	2	3	5	2	2	4	3	3	2	2
14155	4	3	3	3	4	4	4	4	4	5	2	1	3	4
123078	3	3	3	3	3	5	4	5	5	5	5	3	5	5
50137	4	4	4	4	1	3	3	2	2	2	4	1	2	2
41799	3	3	3	3	4	4	3	4	4	4	4	1	4	1
47037	1	1	1	1	5	5	5	5	4	4	2	3	3	5
115397	3	2	3	3	5	3	5	5	4	4	2	4	3	5
35221	5	5	5	5	2	2	2	2	5	3	3	3	1	2
52892	2	4	2	1	1	2	1	1	5	4	1	1	2	1
90041	5	5	5	5	2	5	4	2	2	2	2	3	2	4
26751	3	4	4	3	4	4	4	4	3	1	3	2	3	4
66071	2	5	2	1	3	4	5	2	2	2	2	5	2	3
33552	1	0	1	4	5	1	5	5	5	1	3	2	1	5
107354	3	4	4	4	3	3	2	3	3	2	4	4	4	3
83598	2	2	2	2	4	5	4	5	5	5	5	3	5	5
117725	2	2	2	2	3	5	4	4	4	4	4	3	4	4
34210	2	5	2	3	4	3	5	4	4	2	4	4	4	5
129245	3	3	3	3	5	3	4	3	3	3	3	3	3	4
