Name Survived
"Servius Latinius" No
"Nasidienus Sicinius" No
"Cassius Ovidius" No
"Pettius Fidenas" No
"Nero Ravillius" Yes
"Terentius Sallustius" Yes
"Damasus Sidonius" No
"Urbanus Sextius" Yes
"Pius Orestius" No
"Curtius Minicius" Yes
"Caninius Placidus" Yes
"Cocceius Quintus" No
"Gallus Silvius" No
"Pupius Cicero" Yes
"Foslius Aurelianus" No
"Cassio Gracchus" Yes
"Percennius Vitus" Yes
"Faustus Cassio" Yes
"Damasus Hadrian" No
"Petilius Laurentius" Yes
"Cantilius Faustus" No
"Petilius Coruncanius" Yes
"Ofilius Pupius" No
"Lentulus Avidius" No
"Aulus Caelius" No
"Icilius Festinius" No
"Caninius Rebilus" No
"Honorius Sempronius" Yes
"Decimus Sulpicius" No
"Musonius Placidus" No
"Ollius Herennius" No
"Laelius Blaesus" Yes
"Florianus Decimus" No
"Ollius Palpellius" No
"Festinius Ogulnius" No
"Januarius Lentulus" No
"Plautius Caesennius" No
"Amulius Ennius" Yes
"Munatius Ninnius" No
"Mamilius Fulcinia" No
"Latinius Granius" Yes
"Vitalis Gordian" No
"Vibius Oppius" Yes
"Rufius Flaccus" No
"Cocceius Crispinus" No
"Egnatuleius Manius" No
"Semellius Avidius" No
"Lucretius Bonifacius" No
"Anatolius Salvius" No
"Hostilius Egnatius" No
"Aulus Postumius" Yes
"Papinius Mallius" Yes
"Norbanus Cicereius" No
"Laurentius Castorius" No
"Rufrius Marcellus" Yes
"Burrienus Bruttius" Yes
"Florianus Urbicus" No
"Iuventius Gaius" No
"Nasidienus Flaccus" No
"Stertinius Clodius" No
"Lacerius Cornelius" No
"Servius Hirrus" Yes
"Placidus Paconius" Yes
"Justus Constantinus" No
"Novellius Cato" No
"Tarquinius Calventius" No
"Secundinius Didius" No
"Gracchus Crispus" Yes
"Nasennius Sertorius" Yes
"Plautius Pasidienus" Yes
"Sentius Suetonius" Yes
"Aelius Cassio" No
"Orchius Nasidius" Yes
"Laronius Hilarianus" Yes
"Nasidienus Secundinius" Yes
"Probus Petilius" No
"Ovidius Menenius" Yes
"Verus Ennius" No
"Geta Latinius" No
"Florian Foslius" Yes
"Manilius Aulus" Yes
"Calventius Lucius" Yes
"Antonius Eborius" Yes
"Celsus Laberius" Yes
"Pontidius Clodius" Yes
"Camillus Severian" No
"Fannius Sestius" Yes
"Cato Egnatuleius" No
"Catius Priscus" Yes
"Nerva Laelius" Yes
"Vitalis Sestius" No
"Gaius Numitorius" Yes
"Didius Cordius" No
"Fundanus Manilius" No
"Messalla Nero" No
"Rutilius Marcellus" Yes
"Bruttius Stertinius" Yes
"Lamponius Vitus" No
"Matinius Spurius" No
"Poppaedius Tertius" No
"Munatius Urbicus" No
"Statilius Valens" No
"Statilius Pacilius" Yes
"Honorius Fulcinia" Yes
"Gratian Vitus" No
"Salvidienus Magnentius" No
"Caesennius Porcius" Yes
"Baebius Verecundus" No
"Maecenas Minicius" Yes
"Manius Cincinnatus" Yes
"Aelius Crispus" No
"Icilius Bonifacius" No
"Messalla Albinius" No
"Duronius Petilius" No
"Iunius Acilius" No
"Murena Murena" No
"Gnaeus Silvius" No
"Geta Sicinius" No
"Drusus Appius" Yes
"Ennius Decimus" Yes
"Pettius Salvian" No
"Sergian Felix" Yes
"Sedatius Mescinius" No
"Nonius Sentius" Yes
"Ingenuus Vitus" Yes
"Burrienus Germanicus" No
"Paulinus Palpellius" Yes
"Orestius Rutilius" No
"Sicinius Albinius" Yes
"Gnaeus Paelignus" Yes
"Galerius Sulpicius" Yes
"Volumnius Nerva" No
"Plautius Urbanus" No
"Mescinius Laecanius" No
"Damasus Aquillius" Yes
"Faustus Galerius" No
"Egnatuleius Lucanus" No
"Quinctilius Urbanus" Yes
"Octavenus Spurius" Yes
"Laronius Festus" Yes
"Fulcinia Perperna" Yes
"Porcius Sentius" Yes
"Fidius Verecundus" No
"Decimus Pomponius" Yes
"Nerva Cloelius" No
"Sulpicius Percennius" No
"Varian Calpurnius" No
"Castorius Ostorius" No
"Rufrius Candidus" No
"Porcius Rufius" No
"Gnaeus Papinius" No
"Cominius Cocceius" No
"Memmius Claudius" Yes
"Castorius Flaccus" Yes
"Sedatius Hostius" Yes
"Hadrian Sergian" No
"Marian Acilius" No
"Festinius Cethegus" Yes
"Priscus Varian" No
"Cestius Pinarus" No
"Plautius Dacian" No
"Primitivus Messalla" No
"Hortensius Sornatius" Yes
"Julius Novellius" No
"Coruncanius Lucanus" Yes
"Claudius Primitivus" No
"Marian Vitus" No
"Marius Pontidius" Yes
"Camillus Ravillius" Yes
"Calpurnius Maximus" No
"Cassius Hostilius" Yes
"Coruncanius Naevius" No
"Marius Rullianus" No
"Menenius Juvenalis" No
"Segulius Sextus" No
"Silanus Juvenalis" Yes
"Ravillius Lamponius" No
"Matienus Ennius" No
"Numicius Stertinius" No
"Iuventius Sergius" Yes
"Cosconius Nazarius" Yes
"Constantinus Hostius" Yes
"Festus Regulus" Yes
"Cinna Domitian" No
"Sertorius Brennus" No
"Fidius Vespasian" No
"Paelignus Maximus" No
"Pontidius Naevius" No
"Antonius Verus" No
"Gaius Felix" Yes
"Decentius Gallus" No
"Hortensius Vespasian" No
"Mamilius Rufrius" No
"Verecundus Albinus" No
"Cincinnatus Albinius" No
"Paconius Cassius" No
"Eborius Flaccus" Yes
"Cincinnatus Festinius" Yes
"Matinius Seccius" No
"Paternus Crispinus" Yes
"Caecilius Caecilius" No
"Salvidienus Maecilius" Yes
"Rufius Calventius" No
"Burrienus Gratian" Yes
"Camillius Licinius" No
"Memmius Florian" No
"Catilius Servius" No
"Rufinus Varro" Yes
"Sertorius Lentulus" No
"Hordeonius Tertius" Yes
"Balbinus Brennus" No
"Statilius Draco" Yes
"Gallus Silanus" Yes
"Servius Julius" Yes
"Statilius Marius" No
"Nazarius Petreius" Yes
"Laetorius Lentulus" Yes
"Geta Catius" Yes
"Memmius Quintilianus" Yes
"Coruncanius Cornelius" No
"Cassio Gnaeus" Yes
"Ravillius Germanicus" No
"Rabirius Herennius" No
"Fannius Vitus" Yes
"Cornificius Avidius" No
"Decimus Blasius" No
"Rebilus Fundanus" No
"Laelius Fulvius" No
"Salvidienus Ostorius" No
"Tiberius Papinius" Yes
"Aelius Ovidius" Yes
"Cicereius Laronius" Yes
"Castorius Sabucius" Yes
"Pontidius Mamilius" No
"Cilnius Lucanus" Yes
"Papinius Gordian" Yes
"Blossius Iunius" No
"Duronius Cassio" Yes
"Ovidius Crispus" Yes
"Nasidienus Fulcinia" Yes
"Blasius Papinius" No
"Sepullius Cassio" No
"Salvian Hilarianus" No
"Pompeius Pedius" Yes
"Iuventius Severian" No
"Lucanus Statilius" Yes
"Martialis Florianus" Yes
"Afranius Publius" Yes
"Volumnius Appius" Yes
"Varian Salvian" No
"Galerius Sidonius" No
"Urbanus Belisarius" No
"Belisarius Fulvius" Yes
"Januarius Varian" No
"Lacerius Valerius" No
"Fulcinia Cinna" No
"Secundinius Albinus" Yes
"Junius Atilius" No
"Marcius Oppius" No
"Rufius Juvenalis" Yes
"Ravillius Laelius" Yes
"Rufius Pedius" Yes
"Lacerius Florian" Yes
"Vibius Maxentius" Yes
"Gaius Iulius" No
"Cincinnatus Norbanus" Yes
"Sentius Cassio" Yes
"Numerius Servius" Yes
"Laronius Rutilius" No
"Cispius Gnaeus" Yes
"Maxentius Flaccus" No
"Servius Pompeius" Yes
"Avidius Drusus" No
"Duronius Ninnius" No
"Eutropius Mallius" No
"Priscus Paconius" No
"Pontidius Suetonius" Yes
"Sedatius Persius" No
"Papirius Ovidius" No
"Laecanius Laecanius" No
"Scribonius Nerva" Yes
"Octavius Furius" Yes
"Sergian Florianus" No
"Matienus Cassius" Yes
"Pilus Opimius" No
"Seneca Pilus" Yes
"Cornelius Cinna" Yes
"Caedicius Hordeonius" No
"Segulius Octavenus" Yes
"Galerius Saturninus" No
"Numitorius Fabianus" Yes
"Messalla Salvidienus" No
"Hostilius Martialis" No
"Aemilius Modius" No
"Percennius Porcius" No
"Fulcinia Vincentius" Yes
"Urbanus Cassianus" Yes
"Sempronius Nero" No
"Gabinius Severus" Yes
"Valentinian Cicero" No
"Caesennius Ravillius" Yes
"Pasidienus Rutilius" Yes
"Calpurnius Opimius" No
"Mallius Cassius" No
"Marcus Urbanus" No
"Fabrinius Duronius" Yes
"Paconius Postumius" No
"Petreius Cassius" No
"Secundinius Caelian" Yes
"Cinna Octavenus" No
"Cincinnatus Palpellius" No
"Eutropius Paternus" No
"Pontidius Julius" Yes
"Pupius Avidius" Yes
"Pinarus Laecanius" No
"Pacilius Crispinus" Yes
"Secundinius Pacilius" No
"Avidius Sallustius" Yes
"Manilius Laurentius" No
"Sertorius Segulius" No
"Fulvius Damasus" Yes
"Genucius Porcius" No
"Silanus Curtius" Yes
"Matinius Pupius" Yes
"Marian Paulinus" Yes
"Primitivus Maecenas" No
"Servius Opimius" No
"Nigidius Faustus" No
"Florian Octavius" No
"Baebius Genucius" Yes
"Cantilius Maxentius" Yes
"Secundus Ninnius" Yes
"Julius Vitus" No
"Secundus Lacerius" Yes
"Mamilius Messalla" No
"Magnentius Fulcinia" No
"Segulius Palpellius" Yes
"Genucius Fidius" Yes
"Catius Rabirius" Yes
"Seneca Aurelianus" Yes
"Horatius Oppius" Yes
"Opellius Munatius" Yes
"Egnatius Rufrius" No
"Novellius Gratian" No
"Plinius Damasus" No
"Nigidius Quirinius" Yes
"Plinius Aulus" Yes
"Perperna Salvidienus" No
"Decimus Germanicus" No
"Cyprian Justus" Yes
"Fulvius Cilnius" Yes
"Cilnius Mescinius" No
"Fundanus Tiberius" No
"Paulinus Vibius" Yes
"Nautius Cicereius" No
"Lucretius Genucius" Yes
"Paulinus Servilius" No
"Gracchus Decimus" Yes
"Rutilius Domitian" No
"Fidius Caelian" Yes
"Florian Quirinius" Yes
"Hostilius Cloelius" No
"Cinna Flaccus" No
"Titus Florianus" Yes
"Germanicus Festus" No
"Segulius Lamponius" No
"Albinus Vincentius" Yes
"Camillus Sergian" Yes
"Severian Foslius" No
"Octavenus Segulius" No
"Albinius Granius" No
"Poppaedius Novellius" Yes
"Lucius Percennius" No
"Felix Balbinus" No
"Porcius Didius" Yes
"Lucretius Nazarius" Yes
"Camillius Rullianus" Yes
"Quintus Honorius" No
"Laetorius Egnatius" Yes
"Ingenuus Quintus" Yes
"Longinius Didius" Yes
"Cornutus Laelius" Yes
"Numicius Claudius" Yes
"Silanus Maecenas" No
"Livius Laelius" Yes
"Fannius Primitivus" Yes
"Cocceius Orchius" No
"Porcius Rutilius" No
"Mucius Acilius" No
"Drusus Gabinius" No
"Fabius Marian" Yes
"Pupius Nasidius" No
"Camillius Urbanus" Yes
"Aelius Postumius" Yes
"Tacitus Sicinius" No
"Germanicus Urbicus" No
"Cosconius Gabinius" No
"Pius Cato" No
"Catilius Cassianus" No
"Ingenuus Lollius" No
"Publicius Fabius" No
"Nonius Matinius" Yes
"Sidonius Rufrius" Yes
"Titus Titus" No
"Numonius Servilius" No
"Numerius Secundus" Yes
"Suetonius Sextius" Yes
"Fabrinius Regulus" No
"Matinius Primitivus" No
"Nautius Pilus" Yes
"Didius Duronius" No
"Manius Cornutus" No
"Silius Manilius" Yes
"Laberius Brennus" Yes
"Matienus Decimus" Yes
"Nasidius Geminius" Yes
"Damasus Granius" No
"Furius Palpellius" No
"Pettius Vespasian" Yes
"Furius Ogulnius" No
"Galerius Geta" Yes
"Percennius Plautius" Yes
"Sextius Nero" No
"Opimius Flaccus" No
"Cincinnatus Paulinus" No
"Ingenuus Ninnius" No
"Memmius Ogulnius" Yes
"Faustus Terentius" Yes
"Poppaedius Maxentius" Yes
"Pinarus Laelius" No
"Foslius Modius" No
"Eborius Magnentius" Yes
"Albinus Sestius" Yes
"Nasennius Afranius" No
"Ostorius Didius" No
"Nasidius Sextius" Yes
"Manius Magnentius" No
"Pontidius Nonius" Yes
"Drusus Opimius" No
"Nasidius Lucretius" Yes
"Sergius Secundus" Yes
"Urbicus Opellius" No
"Licinius Murena" No
"Manius Cocceius" Yes
"Cestius Sornatius" No
"Ovidius Fulcinia" No
"Verus Agrippa" No
"Gracchus Amulius" No
"Rebilus Saturninus" Yes
"Severus Cassius" No
"Furius Vincentius" Yes
"Hortensius Marcus" Yes
"Galerius Marcius" Yes
"Sabucius Persius" Yes
"Verecundus Fulcinia" No
"Pius Numerius" No
"Mucius Calpurnius" Yes
"Ninnius Maecilius" Yes
"Agrippa Cicero" No
"Diocletian Oppius" No
"Gratian Paconius" No
"Atilius Seneca" Yes
"Severus Opimius" No
"Geta Aurelianus" Yes
"Opimius Latinius" Yes
"Lucanus Pontidius" No
"Matinius Foslius" Yes
"Martialis Iunius" No
"Maximian Betilienus" No
"Maecenas Poppaedius" Yes
"Sentius Iuventius" No
"Postumius Publius" Yes
"Hadrian Plinius" No
"Hortensius Publicius" Yes
"Cornificius Fannius" No
"Valerius Perperna" Yes
"Probus Hostilius" No
"Cispius Cethegus" Yes
"Verus Bonifacius" No
"Matienus Latinius" Yes
"Festinius Fidenas" No
"Januarius Percennius" No
"Camillus Coruncanius" Yes
"Brennus Galerius" No
"Postumius Primitivus" No
"Ostorius Primitivus" No
"Decimus Egnatuleius" Yes
"Sabucius Amulius" Yes
"Severian Sempronius" No
"Decimus Vitus" No
"Flavius Ennius" Yes
"Gaius Porcius" No
"Petreius Rutilius" No
"Marcellus Cantilius" No
"Sedatius Foslius" Yes
"Magnentius Acilius" Yes
"Priscus Caelian" No
"Modius Genucius" No
"Felix Sedatius" Yes
"Gordian Festinius" No
"Cordius Laecanius" No
"Sepullius Cocceius" No
"Mallius Urbicus" No
"Sabucius Cicereius" No
"Volumnius Gratian" No
"Nautius Appius" Yes
"Suetonius Gordian" Yes
"Iuventius Castorius" No
"Potitius Marcius" No
"Cordius Sergian" Yes
"Clodius Secundinius" No
"Hordeonius Constantinus" No
"Papirius Cicero" No
"Hilarianus Clodius" No
"Valens Ninnius" Yes
"Pilus Rufinus" Yes
"Ninnius Persius" No
"Mucius Hostius" Yes
"Cispius Gabinius" No
"Percennius Geminius" Yes
"Icilius Cordius" Yes
"Damasus Catilius" No
"Aulus Decimus" No
"Vitus Genucius" No
"Lamponius Suetonius" Yes
"Volumnius Murena" Yes
"Paulinus Lartius" No
"Sergian Salinator" No
"Laurentius Marcius" Yes
"Fulvius Segulius" No
"Statilius Sempronius" Yes
"Silius Silius" No
"Publius Cethegus" No
"Hostius Ingenuus" No
"Nautius Tiberius" Yes
"Baebius Regulus" Yes
"Lucretius Burrienus" No
"Sergius Verus" Yes
"Iulius Duronius" Yes
"Cestius Seneca" Yes
"Suetonius Icilius" Yes
"Gordian Horatius" Yes
"Vincentius Nerva" No
"Norbanus Sittius" Yes
"Camillus Maecilius" Yes
"Pasidienus Draco" Yes
"Mucius Cicereius" No
"Marian Petreius" Yes
"Pacilius Mescinius" Yes
"Cominius Aulus" Yes
"Plautius Sedatius" Yes
"Fidenas Hostius" No
"Cyprian Hordeonius" No
"Marcellus Munatius" Yes
"Celsus Longinius" No
"Claudius Paternus" Yes
"Oppius Egnatuleius" Yes
"Severian Secundinius" No
"Cantilius Egnatuleius" Yes
"Nazarius Octavenus" No
"Pinarus Hadrian" No
"Rufinus Cantilius" No
"Gnaeus Juvenalis" Yes
"Brennus Laelius" No
"Laetorius Cilnius" Yes
"Hilarianus Ravillius" Yes
"Orchius Cestius" No
"Fundanus Juvenalis" No
"Tarquinius Petreius" No
"Anatolius Laelius" No
"Vitus Justus" Yes
"Mucius Pilus" No
"Ofilius Galerius" Yes
"Aulus Gallus" No
"Lacerius Gaius" No
"Gordian Marcus" Yes
"Marcellus Claudius" No
"Livius Ollius" Yes
"Vibius Gaius" Yes
"Numicius Herennius" No
"Sergius Marius" Yes
"Marcellus Gaius" No
"Julius Murena" Yes
"Felix Pinarus" Yes
"Diocletian Blasius" Yes
"Salvian Oppius" No
"Paulinus Considius" Yes
"Placidus Titus" Yes
"Galerius Cominius" Yes
"Paelignus Anatolius" No
"Caelian Longinius" No
"Pontidius Servilius" Yes
"Orbilius Pupius" Yes
"Pilus Pasidienus" No
"Foslius Varro" No
"Vitalis Spurius" Yes
"Albinus Camillus" No
"Pupius Cyprian" Yes
"Sicinius Urbanus" Yes
"Claudius Fidenas" No
"Gnaeus Balbinus" Yes
"Nautius Porcius" Yes
"Plinius Junius" Yes
"Varro Horatius" Yes
"Cilnius Marcius" No
"Flavius Mescinius" Yes
"Gracchus Rabirius" No
"Licinius Salinator" No
"Octavius Iuventius" Yes
"Cominius Aurelianus" Yes
"Avidius Messalla" Yes
"Saturninus Lucius" No
"Diocletian Hilarianus" No
"Norbanus Agrippa" No
"Manilius Lentulus" No
"Quinctilius Tiberius" No
"Iuventius Salvius" Yes
"Mucius Cinna" Yes
"Balbinus Januarius" No
"Camillius Paulinus" Yes
"Novellius Laecanius" Yes
"Rufrius Laronius" No
"Orchius Percennius" No
"Fannius Porcius" Yes
"Laecanius Severus" Yes
"Agrippa Sittius" Yes
"Flaccus Fabius" No
"Honorius Palpellius" Yes
"Cosconius Opimius" Yes
"Matienus Justus" No
"Aulus Dacian" Yes
"Octavenus Petreius" Yes
"Caelian Gabinius" Yes
"Nerva Foslius" Yes
"Lacerius Cinna" Yes
"Naevius Cincinnatus" No
"Lollius Papirius" Yes
"Castorius Justus" No
"Pedius Titus" No
"Saturninus Palpellius" No
"Ninnius Diocletian" Yes
"Flaccus Ninnius" No
"Pedius Fabrinius" Yes
"Betilienus Plinius" No
"Blasius Laronius" No
"Ninnius Pupius" Yes
"Petilius Longinius" Yes
"Appius Curtius" Yes
"Festinius Iunius" Yes
"Considius Porcius" Yes
"Urbanus Balbinus" Yes
"Plinius Cato" No
"Servius Rabirius" No
"Magnentius Fundanus" No
"Furius Belisarius" No
"Orchius Urbicus" Yes
"Faustus Candidus" Yes
"Publicius Numonius" No
"Laecanius Pupius" Yes
"Sentius Laetorius" Yes
"Pasidienus Constantinus" Yes
"Numerius Varro" No
"Domitius Fannius" No
"Geminius Fundanus" Yes
"Aelius Urbanus" No
"Musonius Messalla" No
"Flavius Numitorius" Yes
"Valens Caedicius" No
"Blasius Rufinus" No
"Pacilius Donatus" Yes
"Verus Gracchus" No
"Camillus Sulpicius" No
"Spurius Horatius" Yes
"Sicinius Mallius" Yes
"Oppius Hordeonius" Yes
"Drusus Cornificius" No
"Furius Marcus" No
"Lucius Cato" No
"Segulius Rutilius" No
"Pilus Curtius" No
"Justus Latinius" No
"Didius Plautius" No
"Opimius Statilius" Yes
"Mallius Severian" No
"Maximus Ravillius" No
"Nautius Sallustius" Yes
"Vitus Sornatius" No
"Placidus Silvius" Yes
"Vitus Munatius" No
"Probus Orchius" Yes
"Matienus Cato" No
"Mucius Naevius" No
"Juvenalis Ravillius" No
"Lentulus Lucretius" No
"Ostorius Sicinius" Yes
"Dacian Terentius" Yes
"Januarius Stertinius" No
"Quintilianus Suetonius" No
"Avidius Albinius" No
"Geminius Domitian" Yes
"Bonifacius Numerius" Yes
"Pacilius Florian" Yes
"Calpurnius Vincentius" No
"Belisarius Priscus" Yes
"Cestius Cornelius" Yes
"Duronius Scribonius" No
"Manius Pupius" Yes
"Lucius Cassius" Yes
"Eutropius Iuventius" No
"Brennus Pettius" Yes
"Pilus Cornificius" Yes
"Genucius Pinarus" Yes
"Balbinus Numerius" Yes
"Ostorius Volumnius" No
"Tacitus Ninnius" No
"Maecenas Amulius" Yes
"Ostorius Sextus" No
"Cyprian Stertinius" No
"Vitus Manilius" Yes
"Stertinius Diocletian" No
"Verus Rebilus" Yes
"Sergian Sempronius" Yes
"Pomponius Blaesus" No
"Numerius Palpellius" Yes
"Damasus Gracchus" Yes
"Fulcinia Petilius" No
"Numicius Nigidius" Yes
"Felix Sabucius" No
"Atilius Secundus" No
"Laurentius Gratian" No
"Norbanus Poppaedius" No
"Manius Aurelianus" No
"Valens Caelius" Yes
"Geminius Furius" No
"Pius Pupius" Yes
"Hostilius Felix" No
"Laurentius Sabucius" No
"Constantinus Fabius" No
"Cilnius Vitus" Yes
"Sergius Gaius" No
"Persius Mallius" Yes
"Gordian Blaesus" Yes
"Petreius Albinius" Yes
"Crispus Sulpicius" No
"Matienus Fabius" No
