ID Accaunt_Open Age Gender Family_Members Education Status
709531908 yes 53 M 3 "High School" Married
716493408 yes 45 F 4 Uneducated Divorced
714141108 yes 52 F 1 "High School" Married
708953883 no 53 M 2 Unknown Married
712608783 yes 50 M 2 "High School" Married
820353558 yes 41 F 3 "High School" Married
714964758 yes 45 F 5 Graduate Divorced
716264358 yes 53 M 3 Uneducated Married
717296808 yes 67 F 1 Graduate Married
712977183 yes 57 F 2 Uneducated Single
710829108 yes 59 F 1 Uneducated Married
779562633 yes 45 M 2 Uneducated Married
715315833 yes 51 M 3 Graduate Married
815500983 yes 59 F 1 Uneducated Married
719360583 yes 53 M 1 Graduate Married
709701558 yes 47 M 3 Graduate Married
721148358 yes 49 F 3 Uneducated Single
779862408 yes 49 M 3 Post-Graduate Single
812627208 yes 60 F 0 College Single
711033408 yes 50 F 2 "High School" Married
779956608 yes 41 F 2 Post-Graduate Married
780376683 yes 57 M 1 Graduate Married
717912483 yes 43 M 4 Graduate Unknown
714454758 yes 57 F 3 Graduate Married
780466533 yes 54 M 3 Doctorate Married
715735233 yes 51 F 5 Post-Graduate Married
720476733 yes 47 F 3 "High School" Married
715872333 yes 41 M 0 "High School" Unknown
712375758 yes 53 M 3 Uneducated Married
708868233 no 68 M 0 "High School" Married
718030083 yes 59 M 1 College Married
720707283 yes 48 M 4 Unknown Married
771698658 yes 44 M 5 Graduate Married
748326258 yes 48 M 3 College Married
770817783 yes 47 M 4 Graduate Married
779353083 yes 47 M 2 Graduate Married
711441333 yes 43 F 1 "High School" Divorced
719808558 no 55 F 2 Graduate Married
711551958 no 59 M 2 Post-Graduate Married
809164083 yes 63 M 1 Graduate Married
820596183 yes 58 M 2 College Married
715999608 yes 53 F 2 "High School" Married
710565408 yes 59 M 0 Unknown Unknown
805543158 yes 52 M 3 Graduate Married
709752183 yes 48 M 3 "High School" Single
716479233 yes 43 M 4 "High School" Married
713837058 yes 48 M 2 College Single
718876683 yes 43 F 4 Graduate Single
770746908 yes 44 M 4 Unknown Married
794843883 yes 41 M 3 "High School" Married
803043933 yes 44 F 3 Uneducated Divorced
758076408 yes 50 M 2 Unknown Single
714606558 yes 60 F 1 Uneducated Married
778425408 yes 44 M 4 Graduate Single
714171108 yes 48 F 3 Graduate Divorced
719662458 yes 44 F 2 Graduate Divorced
713137233 yes 41 M 2 "High School" Single
769425858 yes 45 M 3 College Single
711297483 yes 47 F 2 Uneducated Divorced
788900883 yes 51 F 2 Graduate Married
758348808 yes 51 M 2 Graduate Married
772336458 no 60 F 1 Uneducated Married
708711483 yes 57 M 2 Unknown Married
717906783 yes 41 M 5 Graduate Single
719437908 yes 44 M 3 Post-Graduate Divorced
769433508 yes 43 M 1 College Single
790096533 yes 55 M 2 College Married
720997383 no 52 M 1 Uneducated Married
787541883 yes 44 M 3 Graduate Unknown
709930758 yes 41 M 2 Uneducated Married
789830058 yes 44 M 4 Unknown Single
710299608 no 53 F 2 Unknown Married
710741208 yes 39 M 2 "High School" Single
821797008 no 49 M 5 College Married
708874533 no 45 F 2 College Married
715341858 yes 54 M 2 Graduate Married
793636308 yes 49 M 3 Uneducated Single
713779908 yes 46 F 3 Doctorate Single
712125258 no 46 M 4 "High School" Married
709703433 yes 47 M 3 Graduate Married
721022433 yes 44 M 2 Doctorate Single
710103558 yes 50 M 3 Post-Graduate Single
715952883 yes 73 M 0 "High School" Married
719731458 yes 56 M 3 Unknown Unknown
772390908 no 59 M 0 "High School" Single
787348608 yes 70 M 0 "High School" Married
709485033 yes 55 F 2 "High School" Married
715432608 yes 43 M 4 Unknown Single
799471833 yes 45 M 1 Uneducated Single
714187533 yes 45 F 2 Uneducated Single
779656908 yes 40 M 1 Graduate Married
788950158 yes 36 M 2 College Unknown
778867533 no 59 F 0 Post-Graduate Married
710620383 yes 43 M 4 Unknown Married
778661358 yes 46 F 1 Unknown Married
789483333 yes 41 M 2 Uneducated Married
809855808 yes 51 F 2 Graduate Married
718464258 yes 51 F 3 Unknown Unknown
708528483 yes 43 F 4 Graduate Divorced
771809733 no 64 F 0 "High School" Married
719942883 yes 54 M 5 Graduate Married
807226683 yes 48 M 3 Unknown Single
717806133 yes 40 M 2 Uneducated Divorced
720615708 yes 57 M 0 Uneducated Married
714511758 yes 45 M 4 Graduate Single
715050408 yes 41 M 3 "High School" Single
721132233 yes 42 F 4 Uneducated Married
719211558 no 45 M 2 Graduate Single
712069008 yes 42 F 4 Uneducated Married
715996983 yes 47 M 4 Uneducated Divorced
773466258 yes 48 F 4 "High School" Married
798983508 yes 43 M 1 Graduate Single
719117433 yes 41 M 4 "High School" Unknown
716451183 yes 54 F 1 Uneducated Married
718621608 no 54 F 2 "High School" Married
715085733 yes 61 M 0 Graduate Married
788977833 yes 61 M 0 Uneducated Married
720272958 no 48 M 2 "High School" Married
708421833 yes 45 F 4 Graduate Single
709173108 no 54 F 4 Graduate Married
709879458 yes 54 F 3 Doctorate Married
715120608 yes 44 M 3 Graduate Single
770632758 yes 50 F 4 Doctorate Single
779078733 yes 55 M 2 Doctorate Married
771742533 yes 48 M 2 Graduate Unknown
720250158 yes 45 M 2 College Single
716458983 yes 60 M 0 "High School" Married
713747733 yes 55 M 2 "High School" Married
712270158 yes 62 F 0 "High School" Married
789562383 yes 38 F 1 "High School" Unknown
754897008 yes 46 M 3 "High School" Single
819700533 yes 50 M 0 "High School" Single
712890408 yes 45 M 2 Uneducated Married
720248208 yes 47 M 3 Post-Graduate Divorced
779749908 yes 48 M 4 College Married
717401883 yes 35 M 3 Uneducated Married
721509558 yes 51 M 2 Graduate Married
710572458 yes 36 F 3 "High School" Married
714576183 yes 47 M 4 Graduate Single
721425558 yes 52 M 2 Graduate Single
711109908 yes 43 F 4 Uneducated Married
715203108 yes 63 M 2 "High School" Married
710027508 yes 61 M 0 Graduate Married
787464408 yes 53 M 2 Uneducated Single
783542133 yes 53 F 3 Graduate Married
708330858 no 57 M 3 Graduate Married
714426783 yes 38 F 2 Graduate Single
712701333 yes 53 M 3 "High School" Married
709494483 yes 63 F 0 Unknown Married
773373108 yes 49 F 4 "High School" Married
715812258 yes 45 M 2 "High School" Married
778286433 yes 67 M 0 Graduate Married
789270033 yes 48 M 3 Graduate Single
711569433 yes 51 F 2 Uneducated Divorced
720214833 yes 52 M 2 "High School" Single
709346133 yes 55 F 2 Uneducated Married
788194458 yes 34 M 3 "High School" Married
720779733 yes 56 M 1 Uneducated Married
717424458 yes 44 F 2 Post-Graduate Married
708820308 yes 47 M 3 Post-Graduate Unknown
710558058 yes 46 F 3 Unknown Married
770590758 yes 43 F 3 Graduate Single
718490658 yes 50 F 1 Graduate Single
711985833 yes 38 F 4 Uneducated Single
708967608 yes 53 F 1 Graduate Single
718505958 yes 43 M 5 Graduate Divorced
715024233 yes 53 M 1 "High School" Married
779249583 yes 56 F 1 Graduate Married
709278258 no 54 M 2 Unknown Married
778928283 yes 57 F 3 "High School" Married
712299858 yes 62 M 1 "High School" Married
799224108 yes 46 F 4 Graduate Single
809976033 yes 49 M 2 Uneducated Married
716203308 yes 52 M 3 Graduate Single
714871683 no 58 M 1 Uneducated Married
716139933 yes 54 M 0 "High School" Married
716984658 yes 49 M 1 Graduate Married
713086008 yes 58 F 3 "High School" Married
713773458 yes 52 M 2 "High School" Single
719242533 yes 41 M 5 "High School" Married
772712658 yes 62 F 0 Uneducated Married
788868858 yes 54 M 2 Graduate Married
811898133 yes 40 F 3 "High School" Divorced
788808633 yes 43 M 3 Graduate Married
779804208 yes 53 F 2 Graduate Single
781391058 yes 55 M 1 Uneducated Single
790134408 yes 46 M 4 Graduate Single
788853258 yes 41 M 1 Uneducated Married
711857733 yes 49 M 3 Uneducated Single
822969858 yes 61 F 0 Graduate Married
719554758 yes 46 M 2 Uneducated Married
711643458 yes 50 F 1 Uneducated Married
788830683 yes 40 M 2 Graduate Single
807030858 yes 51 M 4 "High School" Single
793059108 yes 50 F 2 Graduate Married
716568708 yes 47 F 2 Graduate Married
828281733 yes 43 M 4 Unknown Married
717229158 yes 36 F 4 Graduate Married
715915458 yes 47 F 2 Graduate Married
819129858 yes 46 F 2 Graduate Single
713441958 yes 46 M 2 "High School" Married
719091333 yes 52 M 0 Uneducated Married
708666258 yes 43 M 4 Unknown Married
714914583 yes 40 F 4 Graduate Single
714363858 yes 54 F 4 "High School" Married
721347408 yes 55 F 1 "High School" Single
809608533 yes 49 F 4 Post-Graduate Single
772047183 yes 45 M 4 "High School" Married
714217908 yes 49 M 3 Graduate Married
714819183 yes 63 M 1 Uneducated Married
716455683 yes 40 F 3 "High School" Single
710865633 yes 41 F 2 Graduate Married
752952108 yes 37 M 4 Graduate Married
712595433 yes 58 M 2 Uneducated Unknown
714982383 yes 55 M 2 "High School" Married
813814008 yes 53 F 1 "High School" Married
794545983 yes 57 M 2 Graduate Married
708288108 no 43 M 4 Post-Graduate Unknown
715585158 yes 58 M 1 Graduate Married
810449883 yes 64 M 0 Unknown Married
789863208 yes 54 F 2 Graduate Married
715022133 yes 53 M 2 Graduate Married
712506708 yes 39 F 3 College Single
715699983 yes 56 M 3 "High School" Married
818942433 yes 54 F 4 Unknown Divorced
712459233 yes 59 F 1 Post-Graduate Married
716545383 yes 42 M 3 Uneducated Single
721144383 yes 42 M 4 Graduate Married
821837958 yes 43 M 3 College Unknown
804359133 yes 55 M 0 "High School" Married
713308683 yes 52 M 1 Uneducated Single
788780958 yes 46 M 1 Uneducated Unknown
717354558 no 57 M 2 Uneducated Married
798473808 yes 48 M 3 College Married
712372158 yes 45 M 4 Unknown Married
715192308 yes 48 M 2 "High School" Married
708813033 yes 47 M 1 Graduate Single
714639783 no 42 M 3 College Married
709311633 yes 41 M 2 Graduate Unknown
709470858 yes 51 M 4 College Married
717292758 yes 55 F 2 Graduate Single
779241783 yes 67 M 1 Uneducated Married
715205358 yes 39 M 1 Graduate Married
778871508 yes 54 M 3 Post-Graduate Single
779462433 yes 55 F 2 Unknown Married
710147958 yes 47 M 3 "High School" Married
709864833 yes 49 M 2 Post-Graduate Married
778868958 no 42 F 2 Graduate Married
717276708 yes 57 M 2 Unknown Single
710004933 yes 44 M 5 Uneducated Married
753606108 yes 56 M 3 Unknown Single
710940183 no 49 F 3 Graduate Married
718927533 yes 45 M 3 Graduate Single
719337408 yes 63 M 0 "High School" Married
772308408 yes 44 M 3 Graduate Single
712981383 yes 44 F 4 College Married
790099758 yes 40 M 3 "High School" Married
709547658 no 39 M 2 Uneducated Single
778770783 yes 42 M 4 "High School" Married
713134458 yes 54 M 3 "High School" Married
712159083 no 58 F 4 Unknown Married
713639958 yes 46 F 4 Graduate Divorced
771180033 yes 47 F 4 Unknown Divorced
717916758 yes 67 F 0 Unknown Married
711089733 yes 50 F 2 College Divorced
716988633 yes 55 M 0 "High School" Divorced
779031033 yes 46 F 2 Graduate Married
716302383 yes 47 F 4 Uneducated Married
718281408 yes 36 F 2 Unknown Married
721333233 yes 40 M 4 Doctorate Divorced
794496033 yes 57 M 2 Unknown Single
710519433 yes 48 M 1 Unknown Divorced
814995933 yes 58 F 3 Graduate Married
721469433 yes 48 M 3 Graduate Single
788386908 yes 48 M 3 Graduate Unknown
717198633 yes 53 F 2 College Married
767695083 yes 50 M 2 Graduate Married
711791583 no 52 F 1 Graduate Single
712315683 no 53 F 2 Uneducated Single
710038008 yes 56 F 1 Graduate Single
789129033 yes 44 M 5 Unknown Single
718349058 yes 49 M 3 "High School" Married
789842283 no 54 M 2 Graduate Married
714513033 yes 39 F 1 Unknown Single
714717483 yes 39 F 3 Uneducated Divorced
714900408 yes 41 F 4 "High School" Single
719418933 no 53 M 2 Uneducated Married
720115683 yes 47 M 3 Uneducated Married
779504058 yes 46 F 2 Post-Graduate Married
795979833 yes 53 F 1 "High School" Married
717392358 yes 60 M 1 Graduate Married
718640508 yes 59 F 0 Graduate Single
803366358 yes 38 M 1 Unknown Single
709230708 yes 56 M 4 Uneducated Single
781794708 no 35 M 3 Post-Graduate Unknown
801383808 yes 50 M 3 Graduate Single
710677608 yes 53 M 2 Post-Graduate Unknown
708217758 yes 63 M 2 Graduate Married
714272658 no 43 F 2 Uneducated Single
717469158 yes 46 M 2 Unknown Married
711864783 yes 61 M 1 Uneducated Single
719407983 yes 37 F 0 Post-Graduate Married
710665533 yes 42 F 5 Doctorate Married
716804283 yes 41 M 2 Uneducated Divorced
767294658 no 56 M 2 College Single
709122483 yes 56 M 3 Graduate Married
708241233 no 52 F 3 Post-Graduate Single
717860358 yes 40 F 3 "High School" Single
789337233 yes 63 M 1 Graduate Married
720902133 yes 58 M 1 "High School" Single
721043058 yes 58 M 4 Unknown Married
711870333 yes 46 M 2 Uneducated Divorced
708398283 yes 37 F 1 Graduate Married
715878183 yes 46 M 4 Graduate Single
719451483 yes 46 F 4 Post-Graduate Married
709110633 yes 41 M 1 Graduate Single
721059033 yes 48 F 3 "High School" Divorced
779912283 yes 49 F 3 Graduate Single
717701733 yes 44 M 2 Graduate Married
709913733 yes 39 F 3 College Married
718768158 yes 57 M 1 College Single
721375308 yes 48 M 3 "High School" Married
711374283 yes 47 M 3 "High School" Single
822893133 yes 56 F 1 Uneducated Divorced
778465533 yes 54 F 0 College Married
712138983 yes 54 M 1 Graduate Married
716920908 yes 52 M 4 "High School" Married
708095133 yes 43 M 4 Unknown Unknown
711195558 yes 59 M 1 College Single
772735758 yes 44 M 1 Unknown Married
712024908 yes 56 F 1 College Married
778239933 yes 45 F 4 Graduate Married
714893733 yes 55 M 1 "High School" Married
754886958 yes 48 F 3 College Divorced
710104908 yes 56 F 5 College Single
710558883 yes 41 M 3 Uneducated Married
713827383 yes 65 F 1 "High School" Married
720267033 yes 34 M 4 Post-Graduate Single
712049208 yes 56 M 3 Post-Graduate Married
708688608 yes 62 F 1 "High School" Married
716223708 no 45 F 3 Uneducated Single
713217858 yes 38 F 2 Uneducated Single
819352983 yes 49 M 3 Unknown Unknown
711019308 yes 58 M 2 "High School" Single
768600558 yes 41 F 4 Graduate Single
710202783 yes 33 M 2 Graduate Married
712899333 yes 47 F 4 College Single
767036433 yes 56 F 1 Graduate Married
793473033 yes 51 M 1 Graduate Single
721232058 yes 49 M 1 Graduate Unknown
719443683 no 50 M 1 Unknown Single
715449333 yes 55 F 3 Unknown Married
717998058 yes 26 M 0 Graduate Single
779610033 no 58 M 1 College Married
827332983 yes 46 M 3 "High School" Single
721183983 yes 48 M 4 "High School" Married
718426533 yes 42 M 4 Uneducated Divorced
710698233 yes 37 M 4 Graduate Married
780253533 yes 63 F 0 Unknown Married
793581933 yes 50 M 3 "High School" Single
719229708 yes 41 F 1 "High School" Single
715158483 yes 48 F 3 Graduate Divorced
809296308 yes 46 M 2 College Single
778176108 yes 61 M 0 "High School" Single
796532958 yes 59 F 0 Unknown Married
709345008 no 53 F 2 Doctorate Married
717049533 yes 39 F 3 Doctorate Unknown
719366358 yes 51 M 3 "High School" Married
721417233 no 45 M 2 Graduate Married
711622683 yes 48 M 4 Unknown Single
714578283 yes 47 M 1 Graduate Married
769574883 yes 41 M 2 "High School" Married
717643608 yes 48 M 4 College Married
709198158 yes 50 F 4 Graduate Single
712419708 yes 56 F 2 Post-Graduate Married
709103358 yes 39 F 2 College Single
716966808 yes 47 M 1 Graduate Married
772264383 yes 44 M 2 Graduate Single
721057758 yes 61 F 1 Unknown Married
769137108 no 43 F 2 Post-Graduate Married
717640083 no 59 M 1 "High School" Married
716445783 yes 42 F 2 Uneducated Married
708579633 yes 40 M 4 Unknown Divorced
718715583 yes 65 M 2 Unknown Married
778686408 yes 48 M 1 College Married
715015683 yes 44 M 2 Graduate Single
805254708 yes 36 F 4 Unknown Married
710462433 yes 45 M 4 Graduate Single
721342383 yes 39 M 2 Graduate Married
720179883 yes 40 M 4 College Unknown
794977533 no 62 M 0 "High School" Married
779445108 yes 26 M 0 Graduate Single
718193958 yes 60 M 0 Uneducated Single
710955633 yes 54 F 3 Doctorate Single
716149383 yes 62 M 0 Graduate Married
752604633 no 57 M 2 College Married
713889933 yes 59 M 0 Graduate Single
709446783 yes 46 M 4 Graduate Single
789115833 yes 44 M 4 "High School" Single
711242058 no 48 M 4 Unknown Single
787623858 yes 43 M 2 Uneducated Divorced
709040508 yes 57 M 4 Uneducated Married
708864708 yes 46 M 3 College Unknown
717758583 yes 40 M 3 "High School" Unknown
715416633 yes 54 M 1 Unknown Married
717956283 yes 57 F 1 Graduate Single
721379433 yes 44 M 4 Graduate Married
712027683 yes 47 F 2 Doctorate Married
716027208 yes 47 M 4 Doctorate Married
720475233 yes 50 F 2 "High School" Married
712275108 yes 53 F 3 College Married
718121658 no 56 M 1 College Married
711593808 no 55 M 1 "High School" Married
716222808 yes 53 F 4 "High School" Married
718731183 no 61 M 1 Unknown Married
788779008 yes 57 M 2 "High School" Married
710404533 yes 50 M 2 Graduate Married
711173058 yes 56 F 2 Unknown Married
715383108 yes 52 M 2 Graduate Single
711697158 yes 60 M 0 Graduate Married
709186983 yes 49 M 4 Uneducated Married
808964433 yes 46 F 4 Doctorate Divorced
711948333 yes 42 M 1 Uneducated Married
710541858 yes 45 M 3 "High School" Married
713865333 no 45 F 4 Uneducated Married
797707008 no 44 F 3 Doctorate Married
713490483 yes 61 M 0 Uneducated Single
720370533 no 55 M 3 Uneducated Married
779743908 yes 44 M 4 Unknown Divorced
718675158 no 55 F 1 Unknown Married
710784333 yes 57 M 2 Unknown Married
816596583 yes 45 M 2 Doctorate Married
717517758 yes 57 F 0 "High School" Married
712880283 yes 31 M 0 Uneducated Married
753226158 yes 34 F 2 Graduate Married
720605808 no 53 F 1 Graduate Single
758317233 yes 35 F 1 College Single
711028308 yes 44 F 4 Graduate Married
814852533 yes 50 M 1 Graduate Married
711526533 yes 33 M 3 Post-Graduate Married
804403908 yes 50 M 3 Graduate Single
716999883 yes 51 M 4 "High School" Married
716452083 yes 56 F 4 Unknown Married
787599258 yes 55 F 3 Graduate Single
714495258 yes 26 M 0 College Single
717713283 yes 42 F 3 Graduate Married
789317883 yes 54 M 2 College Married
714500883 yes 44 F 3 Graduate Married
789467508 yes 65 F 0 Graduate Married
710317758 yes 38 F 3 "High School" Married
711231558 yes 58 M 3 "High School" Married
716829483 yes 39 F 3 Post-Graduate Married
779713608 yes 52 M 2 "High School" Married
711628458 yes 45 F 3 Graduate Married
718943508 yes 42 M 3 Unknown Single
770724558 no 42 M 2 College Married
783561558 yes 57 M 4 Post-Graduate Married
719309958 no 55 M 3 Doctorate Single
788785083 yes 44 F 3 College Unknown
780481308 yes 37 F 3 Graduate Married
711757383 yes 50 F 3 Unknown Married
787550808 yes 51 M 2 Graduate Married
779863533 yes 37 M 1 Graduate Married
714529233 yes 36 F 2 Graduate Married
708177333 yes 51 F 2 "High School" Married
812019933 yes 65 M 1 Uneducated Married
708557358 yes 43 M 2 College Married
713580633 yes 46 M 3 Graduate Married
711466533 yes 43 F 2 Graduate Married
802276683 yes 56 M 3 Graduate Married
780913308 yes 43 M 3 Unknown Single
808897683 no 53 M 1 Graduate Single
719428308 yes 50 M 2 "High School" Unknown
713010483 yes 43 F 3 Graduate Married
717006333 yes 54 M 3 "High School" Married
787621158 yes 33 M 2 Unknown Married
716924058 yes 58 F 2 Uneducated Married
720916683 yes 41 M 3 Graduate Single
720923658 yes 48 M 3 Post-Graduate Single
712710708 yes 55 M 2 "High School" Single
718939083 no 54 F 2 Graduate Married
779519058 yes 51 F 3 Post-Graduate Divorced
719085933 yes 35 M 3 Graduate Single
715124958 yes 50 M 3 Uneducated Single
712979133 no 55 M 4 "High School" Married
712006308 yes 45 F 0 College Divorced
710801133 yes 34 M 2 Uneducated Married
712490283 yes 55 F 4 Graduate Married
720071583 no 48 F 2 Unknown Married
717958833 yes 46 M 4 Graduate Married
812420358 no 61 F 0 Graduate Married
712370208 yes 48 M 1 Uneducated Unknown
715940358 yes 51 F 1 Graduate Married
715041333 yes 39 M 3 Doctorate Married
712797258 yes 43 M 3 Graduate Married
769170558 yes 53 M 3 Graduate Single
715884858 yes 38 M 2 "High School" Married
796343058 yes 49 F 2 "High School" Single
783910008 yes 37 F 0 Unknown Married
718888308 yes 53 M 3 Graduate Single
785114808 yes 46 M 2 Post-Graduate Single
709852908 yes 44 F 3 Uneducated Single
823528833 yes 50 F 1 Unknown Single
719679858 yes 58 F 2 Uneducated Married
827108583 yes 55 M 3 "High School" Single
787833333 yes 44 M 3 College Unknown
719781183 yes 57 M 4 "High School" Married
710429358 yes 57 M 1 "High School" Married
798792408 no 48 M 3 "High School" Married
710280558 yes 51 M 1 Graduate Single
809825358 yes 53 F 3 Uneducated Married
714451833 yes 45 F 1 Doctorate Single
713943783 yes 41 M 4 Post-Graduate Married
710706558 yes 51 F 4 Graduate Single
713620308 yes 46 F 2 "High School" Married
813453408 yes 40 F 5 College Married
818248383 yes 33 M 2 Doctorate Married
780106908 yes 53 M 1 "High School" Single
708938508 yes 63 M 1 "High School" Married
709671708 yes 61 M 0 Uneducated Single
